Opcode,Without prefix,CB prefix,ED prefix
99,"SBC A, C","RES 3, C",""
9A,"SBC A, D","RES 3, D",""
9B,"SBC A, E","RES 3, E",""
9C,"SBC A, H","RES 3, H",""
9D,"SBC A, L","RES 3, L",""
9E,"SBC A, (HL)","RES 3, (HL)",""
9F,"SBC A, A","RES 3, A",""
A0,"AND B","RES 4, B","LDI"
A1,"AND C","RES 4, C","CPI"
A2,"AND D","RES 4, D","INI"
A3,"AND E","RES 4, E","OTI"
A4,"AND H","RES 4, H",""
A5,"AND L","RES 4, L",""
A6,"AND (HL)","RES 4, (HL)",""
A7,"AND A","RES 4, A",""
A8,"XOR B","RES 5, B","LDD"
A9,"XOR C","RES 5, C","CPD"
AA,"XOR D","RES 5, D","IND"
AB,"XOR E","RES 5, E","OTD"
AC,"XOR H","RES 5, H",""
AD,"XOR L","RES 5, L",""
AE,"XOR (HL)","RES 5, (HL)",""
AF,"XOR A","RES 5, A",""
B0,"OR B","RES 6, B","LDIR"
B1,"OR C","RES 6, C","CPIR"
B2,"OR D","RES 6, D","INIR"
B3,"OR E","RES 6, E","OTIR"
B4,"OR H","RES 6, H",""
B5,"OR L","RES 6, L",""
B6,"OR (HL)","RES 6, (HL)",""
B7,"OR A","RES 6, A",""
B8,"CP B","RES 7, B","LDDR"
B9,"CP C","RES 7, C","CPDR"
BA,"CP D","RES 7, D","INDR"
BB,"CP E","RES 7, E","OTDR"
BC,"CP H","RES 7, H",""
BD,"CP L","RES 7, L",""
BE,"CP (HL)","RES 7, (HL)",""
BF,"CP A","RES 7, A",""
C0,"RET NZ","SET 0, B",""
C1,"POP BC","SET 0, C",""
C2,"JP NZ, ????","SET 0, D",""
C3,"JP ????","SET 0, E",""
C4,"CALL NZ, ????","SET 0, H",""
C5,"PUSH BC","SET 0, L",""
C6,"ADD A, ??","SET 0, (HL)",""
C7,"RST 00","SET 0, A",""
C8,"RET Z","SET 1, B",""
C9,"RET","SET 1, C",""
CA,"JP Z, ????","SET 1, D",""
CB,"","SET 1, E",""
CC,"CALL Z, ????","SET 1, H",""
CD,"CALL ????","SET 1, L",""
CE,"ADC A, ??","SET 1, (HL)",""
CF,"RST 08","SET 1, A",""
D0,"RET NC","SET 2, B",""
D1,"POP DE","SET 2, C",""
D2,"JP NC, ????","SET 2, D",""
D3,"OUT (??), A","SET 2, E",""
D4,"CALL NC, ????","SET 2, H",""
D5,"PUSH DE","SET 2, L",""
D6,"SUB ??","SET 2, (HL)",""
D7,"RST 10","SET 2, A",""
D8,"RET C","SET 3, B",""
D9,"EXX","SET 3, C",""
DA,"JP C, ????","SET 3, D",""
DB,"IN A, (??)","SET 3, E",""
DC,"CALL C, ????","SET 3, H",""
DD,"","SET 3, L",""
DE,"SBC A, ??","SET 3, (HL)",""
DF,"RST 18","SET 3, A",""
E0,"RET PO","SET 4, B",""
E1,"POP HL","SET 4, C",""
E2,"JP PO, ????","SET 4, D",""
E3,"EX (SP), HL","SET 4, E",""
E4,"CALL PO, ????","SET 4, H",""
E5,"PUSH HL","SET 4, L",""
E6,"AND ??","SET 4, (HL)",""
E7,"RST 20","SET 4, A",""
E8,"RET PE","SET 5, B",""
E9,"JP (HL)","SET 5, C",""
EA,"JP PE, ????","SET 5, D",""
EB,"EX DE, HL","SET 5, E",""
EC,"CALL PE, ????","SET 5, H",""
ED,"","SET 5, L",""
EE,"XOR ??","SET 5, (HL)",""
EF,"RST 28","SET 5, A",""
F0,"RET P","SET 6, B",""
F1,"POP AF","SET 6, C",""
F2,"JP P, ????","SET 6, D",""
F3,"DI","SET 6, E",""
F4,"CALL P, ????","SET 6, H",""
F5,"PUSH AF","SET 6, L",""
F6,"OR ??","SET 6, (HL)",""
F7,"RST 30","SET 6, A",""
F8,"RET M","SET 7, B",""
F9,"LD SP, HL","SET 7, C",""
FA,"JP M, ????","SET 7, D",""
FB,"EI","SET 7, E",""
FC,"CALL M, ????","SET 7, H",""
FD,"","SET 7, L",""
FE,"CP ??","SET 7, (HL)",""
FF,"RST 38","SET 7, A",""
